,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
39601|EGR1,0.002156529881276111,Mus musculus,EGR1,tf,,Dendritic Cell,Bone Marrow,1.0,EGR1
44295|Input,0.0021629713065594133,Mus musculus,Input,other,,Mesenchymal Stem Cell,,1.0,Input
50930|RB1,0.002194846572531846,Mus musculus,RB1,tf,,Embryonic Fibroblast,,0.0,RB1
39068|SMC3,0.0022073570648206134,Mus musculus,SMC3,predicted chromatin regulator,,Embryonic Fibroblast,Embryo,1.0,SMC3
5096|BRD2,0.0022097473303904613,Mus musculus,BRD2,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD2
54706|BRWD1,0.00221333712729808,Mus musculus,BRWD1,cr,,B Lymphocyte,,0.0,BRWD1
37888|ETS2,0.002225943075225631,Mus musculus,ETS2,tf,,Dendritic Cell,Bone Marrow,1.0,ETS2
41551|CLK1,0.0022277492263047846,Mus musculus,CLK1,not sure,,,Liver,1.0,CLK1
54462|MYOG,0.002232572123495717,Mus musculus,MYOG,tf,,Myotube cell,Muscle,1.0,MYOG
48582|HSF2,0.0022470976348540907,Mus musculus,HSF2,tf,,Spermatocyte,Testis,0.0,HSF2
48851|KDM4A,0.0022470976348540907,Mus musculus,KDM4A,cr,3T3-L1,Preadipocyte,Adipose,1.0,KDM4A
56091|SMARCA5,0.002265374910939532,Mus musculus,SMARCA5,cr,,,Nucleus Accumben,1.0,SMARCA5
34545|POU3F2,0.0022714971976499692,Mus musculus,POU3F2,tf,,Embryonic Stem Cell,Embryo,1.0,POU3F2
41351|MYC,0.002273950306070477,Mus musculus,MYC,tf,,Embryonic Stem Cell,Embryo,1.0,MYC
49166|SUV39H2,0.0022813240365585053,Mus musculus,SUV39H2,cr,,Neural Progenitor Cell,,1.0,SUV39H2
44828|GSK3B,0.002291807230355957,Mus musculus,GSK3B,other,,Embryonic Fibroblast,,1.0,GSK3B
2991|ARNTL,0.0022955175851978034,Mus musculus,ARNTL,predicted transcription factor,,Hepatocyte,Liver,1.0,ARNTL
4604|TAF1,0.002305438476602961,Mus musculus,TAF1,tf,,Embryonic Stem Cell,Embryo,1.0,TAF1
35826|KDM6A,0.002305438476602961,Mus musculus,KDM6A,cr,C2C12,Myoblast,Muscle,1.0,KDM6A
9299|TRIM28,0.0023073029607237317,Mus musculus,TRIM28,cr,,B Lymphocyte,Spleen,1.0,TRIM28
53433|HNRNPL,0.0023135277738935713,Mus musculus,HNRNPL,predicted transcription factor,,Embryonic Stem Cell,,1.0,HNRNPL
53866|HOPX,0.002320392629662511,Mus musculus,HOPX,tf,,,Embryonic Heart,1.0,HOPX
50131|EED,0.002327275924906288,Mus musculus,EED,cr,,Neuron,,1.0,EED
51961|ZIC3,0.0023348060553289077,Mus musculus,ZIC3,tf,,Embryonic Stem Cell,,1.0,ZIC3
44781|NCOR1,0.00233795011496556,Mus musculus,NCOR1,cr,3T3-L1,Preadipocyte,Adipose,0.0,NCOR1
332|SIN3B,0.0023404681219732037,Mus musculus,SIN3B,tf,C2C12,Myoblast,Muscle,0.0,SIN3B
36996|CHD4,0.0023638763413535773,Mus musculus,CHD4,cr,,iPSC,,1.0,CHD4
44147|SRF,0.002365147666909087,Mus musculus,SRF,tf,NIH-3T3,Fibroblast,Embryo,1.0,SRF
50383|PWP1,0.002397776295686958,Mus musculus,PWP1,not sure,,Embryonic Stem Cell,,1.0,PWP1
40133|BATF,0.002402286386009777,Mus musculus,BATF,predicted transcription factor,,Th17,,1.0,BATF
48666|ATRX,0.002409389182112461,Mus musculus,ATRX,cr,,Fibroblast,,1.0,ATRX
52722|TCF7,0.002440606099220928,Mus musculus,TCF7,tf,,Thymocyte,,1.0,TCF7
36721|TOP2A,0.0024451890101268928,Mus musculus,TOP2A,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,TOP2A
5063|BRD4,0.002446499842328888,Mus musculus,BRD4,cr,,Macrophage,Bone Marrow,1.0,BRD4
35710|EOMES,0.002452406457205645,Mus musculus,EOMES,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,EOMES
48776|TP53,0.002463598602559556,Mus musculus,TP53,predicted transcription factor,MEFs,Embryonic Fibroblast,,1.0,TP53
4412|NR1D1,0.002494782423023104,Mus musculus,NR1D1,tf,,Hepatocyte,Liver,1.0,NR1D1
38069|CBX3,0.002497452776533729,Mus musculus,CBX3,cr,,Embryonic Stem Cell,Embryo,1.0,CBX3
44533|PHC1,0.0024981207686246122,Mus musculus,PHC1,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,PHC1
43674|CRY1,0.0025189088233844204,Mus musculus,CRY1,not sure,,,Liver,1.0,CRY1
49164|SUV39H1,0.002532403340667955,Mus musculus,SUV39H1,cr,,Neural Progenitor Cell,,1.0,SUV39H1
47780|GRHL3,0.0025561760888782393,Mus musculus,GRHL3,predicted transcription factor,,,Skin,1.0,GRHL3
44154|MKL1,0.0025595886120662282,Mus musculus,MKL1,tf,NIH-3T3,Fibroblast,Embryo,0.0,MKL1
56523|PRDM9,0.0025719078157746753,Mus musculus,PRDM9,predicted transcription factor,,Spermatocyte,,1.0,PRDM9
3033|MLLT3,0.0025719078157746753,Mus musculus,MLLT3,not sure,,Leukemic Blast Cell,Bone Marrow,1.0,MLLT3
37870|PER1,0.0025849695290012637,Mus musculus,PER1,predicted transcription factor,,Epithelium,Liver,0.0,PER1
5184|BCL6,0.002585658645178909,Mus musculus,BCL6,predicted transcription factor,,Macrophage,Bone Marrow,1.0,BCL6
52438|SIRT1,0.002589796829519277,Mus musculus,SIRT1,cr,,,Bone Marrow,1.0,SIRT1
4625|TCF7L1,0.002593940997488122,Mus musculus,TCF7L1,tf,,Thymocyte,Thymus,1.0,TCF7L1
59041|DDX5,0.002599475875685602,Mus musculus,DDX5,predicted chromatin regulator,,Th17,,0.0,DDX5
8305|RCOR1,0.00260502142275832,Mus musculus,RCOR1,both predicted transcription factor and chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0,RCOR1
41829|ZBTB17,0.002611272938176493,Mus musculus,ZBTB17,tf,,Neural Progenitor Cell,,1.0,ZBTB17
44156|MKL2,0.002634311292906576,Mus musculus,MKL2,tf,NIH-3T3,Fibroblast,Embryo,1.0,MKL2
5070|CDK9,0.00266036039035758,Mus musculus,CDK9,tf,,Macrophage,Bone Marrow,1.0,CDK9
33118|KDM5A,0.0026731168482212802,Mus musculus,KDM5A,cr,,Embryonic Stem Cell,Embryo,1.0,KDM5A
8976|ZFP42,0.00269164037069851,Mus musculus,ZFP42,tf,,Embryonic Stem Cell,Embryo,0.0,ZFP42
43043|THAP11,0.00269378514141176,Mus musculus,THAP11,tf,V6.5,Embryonic Stem Cell,Embryo,1.0,THAP11
35211|NCOA3,0.0026973631886105555,Mus musculus,NCOA3,cr,E14,Embryonic Stem Cell,Embryo,1.0,NCOA3
