,0,TF
53411|PPARA,0.0004635849527573249,PPARA
5367|LUZP1,0.0004658137780750712,LUZP1
35812|DICER1,0.00046656257118340565,DICER1
49166|SUV39H2,0.000471920817891839,SUV39H2
50383|PWP1,0.0004822653130965366,PWP1
42002|SMAD1,0.0004857499421066355,SMAD1
36217|CUX2,0.0005012307487287544,CUX2
37574|PHOX2A,0.000512434579708744,PHOX2A
47024|NFE2,0.0005280867192690919,NFE2
57943|USP16,0.00052923325899157,USP16
38069|CBX3,0.0005293105295849636,CBX3
44156|MKL2,0.0005332041130739252,MKL2
48647|ARID3A,0.0005398273702539029,ARID3A
40114|RORC,0.0005484673456150215,RORC
9639|BCL6,0.0005506927745335742,BCL6
51861|DNMT3B,0.0005538309807898277,DNMT3B
44846|BCL11A,0.0005572720140250239,BCL11A
43829|PARP1,0.0005768275791733506,PARP1
56595|BAZ1B,0.000579924278549392,BAZ1B
41641|POLR3D,0.0005984421296728818,POLR3D
43719|JUND,0.0006005432033462402,JUND
33818|BATF,0.0006029428443602712,BATF
53248|MED12,0.000607071101478673,MED12
46403|PAX5,0.0006101924456682522,PAX5
3229|ELL2,0.0006204454467910989,ELL2
8606|AICDA,0.0006418840517988318,AICDA
8337|SOX11,0.0006441653682630695,SOX11
56094|BAZ1A,0.0006520577269513033,BAZ1A
44796|VDR,0.000653475851076513,VDR
48579|HSF1,0.0006622627548614842,HSF1
3269|FOXO1,0.0006712867634414871,FOXO1
48849|GPS2,0.0006766810180629573,GPS2
33372|LHX2,0.0006817722411832645,LHX2
49082|GM6871,0.0006900407267328008,GM6871
39315|TFE3,0.0006948391730212607,TFE3
41410|KLF3,0.0006964093625603453,KLF3
50212|GTF2B,0.0006991208937017876,GTF2B
47612|MCRS1,0.0007001909631980508,MCRS1
37889|IRF1,0.0007013636750827545,IRF1
44168|ELK3,0.0007046126746620049,ELK3
44448|OVOL2,0.0007069032897208011,OVOL2
41753|ASH1L,0.0007107387775220398,ASH1L
37787|CRY2,0.0007112519938285065,CRY2
53639|NLRP3,0.0007199146741916892,NLRP3
51236|NLRC5,0.0007251040377386953,NLRC5
4504|RAD51,0.0007298451883957144,RAD51
59040|DDX5,0.0007450234564447819,DDX5
38179|TBX21,0.0007543297360502263,TBX21
33050|SRSF2,0.0007645199991470432,SRSF2
46492|ZKSCAN1,0.0007738745837640269,ZKSCAN1
35619|GRIP1,0.0007785498571410131,GRIP1
51358|PRDM9,0.0007841414539237506,PRDM9
5582|SOX6,0.0007878631198145211,SOX6
51138|YAP1,0.0007884934755257725,YAP1
33118|KDM5A,0.0007893553230493296,KDM5A
53760|MYO1C,0.0007946875720597631,MYO1C
40368|IRF8,0.0008044075941183859,IRF8
38466|CBFB,0.0008089707502413901,CBFB
48981|WT1 ,0.0008106289421205738,WT1 
51241|RFX5,0.0008121942432052097,RFX5
32994|TAF7L,0.0008204806385599294,TAF7L
4511|RAP1A,0.0008275424058215434,RAP1A
53380|TOP2B,0.0008331040278908954,TOP2B
37404|THRB,0.0008388535136335324,THRB
58100|SUMO1,0.0008771933170706054,SUMO1
49288|RAD21,0.0008823884189022964,RAD21
51958|NFATC2,0.0008900844392911655,NFATC2
48582|HSF2,0.0008907225598362219,HSF2
37912|E2F4,0.000895270884495626,E2F4
56273|AEBP2,0.0008959284611893168,AEBP2
54238|BARX1,0.0009189087170480078,BARX1
3033|MLLT3,0.0009611387043816245,MLLT3
3040|CRX,0.0009719313726960036,CRX
40138|MAF,0.0009882094355884977,MAF
52365|RARA,0.000993836457773135,RARA
53080|NKX3-2,0.0010047479405693245,NKX3-2
9241|MYF5,0.0010558274540593195,MYF5
44368|KMT2A,0.001064043907290809,KMT2A
5463|KDM5B,0.0010907233860799807,KDM5B
53638|STAT6,0.001103139571120314,STAT6
48962|H3Pan,0.0011043202478891118,H3Pan
32911|BRDU,0.0011043202478891118,BRDU
33121|DDIT3,0.0011043202478891118,DDIT3
33103|ZNF335,0.0011043202478891118,ZNF335
32973|FOXO3,0.0011043202478891118,FOXO3
50744|HAND1,0.001104556739431008,HAND1
44214|NCOA1,0.0011299747376729385,NCOA1
52256|ETV2,0.0011509028424927913,ETV2
42961|PARP14,0.0011643169557915033,PARP14
43424|ASCL2,0.0011704941566796872,ASCL2
52238|RUVBL1,0.001231240435923824,RUVBL1
49734|MEF2A,0.0012781479076901265,MEF2A
6030|MAPK8,0.0012987481388514592,MAPK8
44215|NCOA2,0.00130008105100232,NCOA2
9103|TEAD4,0.0013305907412524331,TEAD4
5809|HELLS,0.0013680778276961838,HELLS
42982|ATOH1,0.001381282667464574,ATOH1
58629|DZIP3,0.0013933370975628373,DZIP3
52905|MEF2C,0.0014213688690874805,MEF2C
41201|AURKB,0.0014293596045411288,AURKB
54378|BCL3,0.0014646751438842512,BCL3
35820|SUPT6H,0.001495585685509459,SUPT6H
56386|TCF4,0.0015429647816409117,TCF4
3295|GTF2F1,0.0015763322218753984,GTF2F1
35242|PBX1,0.0015829530799205203,PBX1
52659|PKNOX1,0.0016020339644762342,PKNOX1
56606|SATB2,0.0016100370213045561,SATB2
416|LBR,0.0016452168507231364,LBR
8744|NR1D2,0.001656939975926119,NR1D2
41829|ZBTB17,0.0018653318051978015,ZBTB17
52891|NCOR2,0.0019142885955128529,NCOR2
33753|SOX17,0.0019398900838496344,SOX17
44360|ING1,0.0020464478469569996,ING1
35550|SP1,0.0020982413997533574,SP1
56415|ZMIZ1,0.0021464236134713507,ZMIZ1
5221|LYL1,0.002193049580377399,LYL1
51910|STAT2,0.0022955301062275767,STAT2
3292|GTF2A1,0.0023836760588381136,GTF2A1
50239|SPIB,0.0024670615636027053,SPIB
451|SMAD2,0.002515458719785891,SMAD2
52226|E4F1,0.002538255049361683,E4F1
8305|RCOR1,0.0027751166488210943,RCOR1
2816|ATF7IP,0.0027883329467215095,ATF7IP
4397|MAFA,0.00281599378116243,MAFA
36721|TOP2A,0.0028199529801435355,TOP2A
33052|HEXIM1,0.0028269354488179715,HEXIM1
35722|ELF5,0.002950247107181514,ELF5
41357|SUPT5H,0.0032220551056934264,SUPT5H
36669|NR2F2,0.003489284020638535,NR2F2
36909|ERF,0.0036337556932698736,ERF
56517|CBX2,0.003866245047006736,CBX2
34005|LHX3,0.004021043675397971,LHX3
57817|GFI1B,0.0041701876064534895,GFI1B
"35263|PKNOX1, PKNOX2",0.004198560128942513,"PKNOX1, PKNOX2"
59362|CSTF3,0.004250070850925933,CSTF3
55621|POU3F3,0.004272841583493831,POU3F3
33940|EHF,0.004426176707311488,EHF
38059|KDM5C,0.004465369594072879,KDM5C
50722|UBTF,0.00457516004071332,UBTF
40135|ETV6,0.0046670048572797366,ETV6
56036|RFX3,0.004752376935756871,RFX3
8837|STAG2,0.004911932693463085,STAG2
49496|CDK7,0.005037355482248435,CDK7
43043|THAP11,0.005072014218315075,THAP11
55947|HNF1B,0.005122747293777642,HNF1B
59179|NR0B2,0.0052147855119642,NR0B2
2630|CHD7,0.00524517210119174,CHD7
433|TFCP2,0.005442293522198293,TFCP2
37716|PRDM4,0.005591681875434109,PRDM4
8841|ELL,0.0058472734098060225,ELL
44547|NUP98PHF23,0.00585751279166193,NUP98PHF23
294|MSX1,0.005863886319645988,MSX1
41323|CTR9,0.0060335862223026985,CTR9
48081|CBX8,0.006857259655306591,CBX8
47617|MSL2,0.007207781334158647,MSL2
