,0
M01288|NEUROD1,9.030367451331696e-09
MS00248|BHLHB3,1.0546198258546114e-08
MS00018|ETV4,1.1242420957821613e-08
MC00448|Nr1h2,1.2276773493511943e-08
MS00299|CEBPD,1.712421597282376e-08
MC00206|ELK1,1.756754005340764e-08
MS00027|FLI1,2.1564916468470035e-08
UP00418|Etv6,2.610945293979303e-08
MC00207|ELK4,2.7847922643754798e-08
MS00115|NFIX,3.35930182048231e-08
MS00194|TBX19,3.6645404648462e-08
M00115|CNTN2::CREB1,3.747095987015709e-08
UP00095|Zfp691,3.887520443096766e-08
M00433|Hmx3,4.0285897617117253e-08
MC00473|ATF3,4.682026351552663e-08
MS00021|ETV6,4.842564470915135e-08
MS00725|MTF1,4.898308671054215e-08
MC00457|ELF1,4.9082187937801804e-08
MC00465|NR3C1,5.9017076607549644e-08
MS00712|E2F2,6.652575740832396e-08
MS00171|Rfx2,6.769924269654298e-08
MS00023|Elk3,7.53189323173986e-08
MS00247|BHLHB2,7.681387581126403e-08
M00749|SREBF1,9.5137503789651e-08
MS00067|IRF5,9.749814143519965e-08
MC00377|Trp53,9.840112698965805e-08
MS00684|RARG,1.0075101978515423e-07
MS00268|YY2,1.0618867329327832e-07
UP00009|Nr2f2,1.1812841877404085e-07
MA0101|REL,1.2337683948072114e-07
MC00203|RFX3,1.3644546023253654e-07
MC00432|HNF4A,1.4369126989038106e-07
MS00267|MNT,1.5134503379200434e-07
MS00490|ZSCAN4,1.5205735816949674e-07
M00085|ZBTB6,1.5403155625865587e-07
M00155|NR2F2,1.6624959812621518e-07
MS00851|ETS1,1.7595952260705833e-07
MS00311|Creb3l2,1.9577100172736907e-07
MS00713|THRB,1.9652067988370626e-07
MS00739|E2F8,2.4562442677156174e-07
MC00224|EPAS1,2.623071454591077e-07
UP00404|ELF2,2.886111026499105e-07
MC00386|BCL6,2.9564002894440845e-07
M00486|PAX2,3.2599566540412464e-07
MC00280|NR4A1,3.7830686140768797e-07
MS00383|FOXO4,4.071446990796231e-07
MS00338|NRL,5.615338793445082e-07
M00483|ATF6,5.667342853377633e-07
MS00325|Jdp2,6.240592581144139e-07
MC00512|Esrrb,6.269680353163368e-07
UP00085|Sfpi1,6.312762830133226e-07
MS00848|ERG,7.819386148950738e-07
MS00846|ERF,1.1474523122408716e-06
M01334|Nkx1-1,1.1761655192682295e-06
MS00371|FOXK1,1.2666878324123011e-06
MC00124|MAX,1.3037344179285215e-06
MC00439|TP63,1.4701946228099152e-06
MS00294|ATF7,1.4918405442013897e-06
M01112|RBPJ,1.5462916504587858e-06
MA0161|NFIC,1.7905391555213747e-06
MS00177|RUNX3,1.8047603515560048e-06
UP00092|MYB,2.1731901568276313e-06
M00326|PAX1,2.3844646905153635e-06
MS00252|Bhlhb2,2.3923591873042517e-06
MS00186|MGA,2.4240721555603535e-06
MC00193|RELA,2.45002183032375e-06
MS00061|HSFY2,3.0554697283127594e-06
MC00142|PPARG,3.82430566700912e-06
M00646|HNF1B,3.867362830508001e-06
MS00638|ESRRG,4.008550497685629e-06
MS00300|CEBPE,4.296088399438705e-06
M01171|BCL6,4.585638882579836e-06
MC00342|YY1,4.6477331276869505e-06
MC00344|Hnf4a,4.65932991290501e-06
MS00571|NKX2-8,4.760362795531193e-06
MC00339|NFE2L2,4.9785390623328275e-06
MS00047|GCM1,5.053409268875718e-06
UP00040|Irf5,5.312588561854753e-06
MS00162|RFX2,6.044191434615112e-06
MS00320|JDP2,6.2018241816552715e-06
UP00011|IRF6,6.924422602884515e-06
MC00407|Myc,7.313512300550357e-06
M00694|E4F1,7.4722223352317775e-06
MC00503|SMAD3,7.5986235701403e-06
MC00223|SMAD2/3,7.5986235701403e-06
UP00048|RARA,7.85651545452878e-06
M00490|BACH2,8.656849246955562e-06
MS00327|MAFG,9.010291568288177e-06
MS00218|T,9.161804585173627e-06
M01596|GLI3,9.794524960657812e-06
MC00130|Pparg,1.1900680560314727e-05
MS00844|ELK3,1.296642065174399e-05
MS00114|NFIB,1.3496840295600665e-05
MS00102|MYBL2,1.4048455842224158e-05
MC00135|Rela,1.4301303939442144e-05
MC00476|Rarg,1.4569681554962965e-05
MC00471|Rxra,1.5035649576717256e-05
M01312|NKX2-1,1.6376024678990012e-05
M00456|BPTF,1.694123977522531e-05
MC00468|AR,1.72691406852606e-05
MC00337|Ikzf3,1.747900140301265e-05
UP00043|Bcl6b,1.8715813742341898e-05
MS00398|Foxk1,1.8886020224345543e-05
MC00334|SIX5,1.967503908341486e-05
MC00372|Yy1,1.97365390320541e-05
MS00313|Creb5,2.0817874529173708e-05
MS00838|ELF5,2.09245823240019e-05
MS00401|ZNF306,2.2346655506031287e-05
MS00253|CLOCK,2.6325383754158245e-05
MC00121|Cebpb,3.064859071846434e-05
MS00468|ZNF75A,3.225444564742245e-05
MC00126|TCF12,3.2281646458049375e-05
MC00357|Crx,3.233185799693501e-05
M01105|ZNF350,3.331209922656531e-05
MC00392|SMAD4,3.4359621323158e-05
MS00808|TFEC,3.506403915512856e-05
M00041|ATF2::JUN,3.6626219722713776e-05
MS00022|Elf5,3.728637429659101e-05
M00088|IKZF1,4.187640872683193e-05
MS00822|NFIX,5.366806590812893e-05
MS00692|RXRB,5.414818002952676e-05
M01207|ETS2,5.513697571502354e-05
MA0081|SPIB,5.693228005222671e-05
MS00641|Esrra,6.1016456827265266e-05
MS00182|GMEB2,6.232764649780103e-05
MC00351|FOSL1,6.820669006692391e-05
MS00386|FOXO6,6.864426140079614e-05
UP00056|RFX4,6.867836626953931e-05
MS00734|E2F3,7.355208716448017e-05
M01262|TBX18,7.869651242249585e-05
MS00414|BARHL2,8.483751157003571e-05
MS00097|MYBL1,8.603854136533118e-05
MS00710|THRB,8.747250817596598e-05
MS00475|HMX3,9.010525506504548e-05
MS00217|TBX5,0.0001038215415833809
MC00170|PGR,0.00012649520583184892
MC00136|Hoxb4,0.00013101495702083968
UP00086|IRF3,0.00013110752867249366
M01709|MAFA,0.00013814051535284468
UP00081|Mybl1,0.00018395710447740028
MS00281|SREBF2,0.000197142138084503
MS00072|IRF8,0.00021082013326911454
MA0066|PPARG,0.00021137683876794284
MS00070|IRF7,0.00021305178811128797
M01252|E2F6,0.00023108565802608185
MC00113|SP1,0.0002335134594040597
MS00756|E2F7,0.00023857896146397674
MS00160|PROX1,0.00024309198108475575
MS00651|NR2C2,0.0002549345514220074
M00706|GTF2I,0.00025757870441688995
MS00709|THRA,0.00026463178835492977
MC00211|NFATC1,0.00027356329283121435
MS00376|FOXO1,0.00027569938441374684
MS00729|ZNF282,0.0002893598732466799
M01119|ZBTB33,0.00030318315581900825
MC00348|STAT1,0.0003093040212117164
MS00778|EHF,0.0003132951164445577
MC00396|Nr3c1,0.0003404995518885644
MS00326|MAFF,0.00035309959493357094
M00133|POU3F1,0.00037761797330806133
MC00341|Olig2,0.0003809584069159553
M00526|NR6A1,0.00038351358513505
MS00062|HSFY2,0.00042328139937472856
MS00421|Barhl1,0.00043333190217867624
MS00556|GRHL1,0.0004592211527010753
UP00112|Gsc,0.00047384021065679805
MS00016|ETV2,0.0005042954666506405
M01229|GTF2IRD1,0.0005413117170998202
MC00398|FLI1,0.0006195934337214912
MS00190|SCRT2,0.0006570209483095967
MS00829|ESRRA,0.0006658976147854853
MS00208|TBX21,0.0006697766256985498
MC00356|Tbx21,0.0006714382086230654
M01728|NR2F6,0.000678846308290326
M01656|Trp63,0.0007138996932189987
MC00132|TP73,0.0008573874012421266
MS00463|GSC2,0.0008973471123223348
MC00289|HSF1,0.0010368121281813867
MS00711|THRB,0.0010773350069774783
MC00467|RXRA,0.0010924193317411576
MS00579|TFCP2,0.0011774828881184081
MS00380|FOXO3,0.0011941529552384105
MC00104|Foxa1,0.001233866068379188
UP00045|MAFB,0.0012502561796663902
M01733|MZF1,0.0013044557278803408
MS00708|Rxrb,0.001343008827913806
MS00680|RARG,0.001355600030720183
M01067|GFI1,0.0013663825126824982
M01445|Obox6,0.0014390573625918178
M00648|MAF,0.0014698294625786212
MC00388|Tal1,0.0015749773997365002
MS00820|NFIA,0.0016035756988846276
UP00027|Osr1,0.001686233515875078
MC00169|Usf2,0.0017311877005488081
UP00148|Hdx,0.0017629858843185274
MC00477|ZNF711,0.001902499401260815
MS00065|IRF4,0.0019782791736333138
M00072|TFCP2,0.00199243960958251
MS00685|RORA,0.002019978901483191
MS00657|NR2F1,0.002096365202159432
MC00330|FOS,0.002133990395100763
MS00296|BATF3,0.0021626283411953547
M00159|CEBPA,0.002203266419195279
MS00282|Srebf1,0.0022890177650456774
MC00134|Ppara,0.0022992698491875667
MC00129|Fli1,0.0023150116561678692
M01069|GZF1,0.0023894462227689586
MC00293|Gfi1b,0.0024123765267525105
UP00117|Hoxd11,0.0024226655222005828
MS00726|PRDM4,0.002588806360524559
MS00514|Hoxa11,0.00266072887960353
MS00665|NR4A2,0.0027024422621080026
