,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
54705|BRWD1,0.2326025192612547,Mus musculus,BRWD1,cr,,B Lymphocyte,,0.0,BRWD1
48852|KDM4A,0.2326851403233617,Mus musculus,KDM4A,cr,3T3-L1,Preadipocyte,Adipose,1.0,KDM4A
41201|AURKB,0.2330157876336221,Mus musculus,AURKB,not sure,,B Lymphocyte,Spleen,1.0,AURKB
33117|KDM5A,0.23312606136002836,Mus musculus,KDM5A,cr,,Embryonic Stem Cell,Embryo,0.0,KDM5A
50744|HAND1,0.23312606136002836,Mus musculus,HAND1,not sure,,Mesodermal Cell,,0.0,HAND1
9164|KDM4D,0.23312606136002836,Mus musculus,KDM4D,cr,,Dendritic Cell,,0.0,KDM4D
33103|ZNF335,0.23315363431798145,Mus musculus,ZNF335,tf,,,Telencephalon,0.0,ZNF335
33064|BRD4,0.23315363431798145,Mus musculus,BRD4,cr,,Epithelium,Heart,0.0,BRD4
32929|SMC5,0.2332639442520475,Mus musculus,SMC5,predicted chromatin regulator,,B Lymphocyte,Spleen,0.0,SMC5
32911|BRDU,0.2332915262606016,Mus musculus,BRDU,other,,B Lymphocyte,Spleen,0.0,BRDU
48962|H3Pan,0.23331911007896014,Mus musculus,H3Pan,other,,Spermatid,Testis,0.0,H3Pan
37891|MAFF,0.23420274721145345,Mus musculus,MAFF,tf,,Dendritic Cell,Bone Marrow,0.0,MAFF
53388|TOP2B,0.2345069248438996,Mus musculus,TOP2B,predicted chromatin regulator,,Neuron,,0.0,TOP2B
47819|GLI3,0.2345069248438996,Mus musculus,GLI3,tf,,Epithelium,Limb Bud,0.0,GLI3
41410|KLF3,0.23514363826180906,Mus musculus,KLF3,tf,,Embryonic Fibroblast,,1.0,KLF3
54453|SLC5A5,0.2359200546163992,Mus musculus,SLC5A5,predicted transcription factor,,Myoblast,Muscle,1.0,SLC5A5
9334|TBP,0.2376164149541164,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,0.0,TBP
56273|AEBP2,0.2386486070234792,Mus musculus,AEBP2,tf,,,Thymus,0.0,AEBP2
56159|EZH1,0.23895594743776424,Mus musculus,EZH1,cr,,Fibroblast,,1.0,EZH1
58629|DZIP3,0.23920756866496445,Mus musculus,DZIP3,not sure,,Embryonic Stem Cell,,1.0,DZIP3
48619|NFYB,0.23929147456944996,Mus musculus,NFYB,tf,E14,Embryonic Stem Cell,Embryo,1.0,NFYB
48981|WT1 ,0.239851257948378,Mus musculus,WT1 ,tf,,Epithelium,Kidney,0.0,WT1 
3249|FLI1,0.2402154998582932,Mus musculus,FLI1,tf,,Th2,Blood,0.0,FLI1
52828|GRHL2,0.2404397984689608,Mus musculus,GRHL2,tf,,,Placenta,1.0,GRHL2
53415|PPARA,0.2406922706915445,Mus musculus,PPARA,tf,,Erythroid Cell,Liver,0.0,PPARA
433|TFCP2,0.24192865384834286,Mus musculus,TFCP2,tf,E14,Embryonic Stem Cell,Embryo,0.0,TFCP2
51958|NFATC2,0.24204122290653365,Mus musculus,NFATC2,tf,,T Lymphocyte,,0.0,NFATC2
44222|SMARCC2,0.24204122290653365,Mus musculus,SMARCC2,cr,,Epithelium,Face,1.0,SMARCC2
44663|RORC,0.24407231496399465,Mus musculus,RORC,tf,,Th17,,1.0,RORC
56523|PRDM9,0.2453180487159873,Mus musculus,PRDM9,predicted transcription factor,,Spermatocyte,,1.0,PRDM9
55334|AICDA,0.2454314664665281,Mus musculus,AICDA,cr,,B Lymphocyte,Spleen,1.0,AICDA
54238|BARX1,0.24611256429275305,Mus musculus,BARX1,tf,,Mesenchymal Cell,Stomach,1.0,BARX1
56986|TCF4,0.2484187345175075,Mus musculus,TCF4,tf,,Stem cell,Intestine,1.0,TCF4
59433|HEY2,0.2507363718875574,Mus musculus,HEY2,tf,,Cardiomyocyte,,1.0,HEY2
56296|BRD3,0.251109401791045,Mus musculus,BRD3,predicted chromatin regulator,5.3S,Haematopoietic Progenitor Cell,,1.0,BRD3
34603|USF1,0.2512816684023772,Mus musculus,USF1,tf,,,Liver,0.0,USF1
54461|MYOG,0.2524317074592056,Mus musculus,MYOG,tf,,Myotube cell,Muscle,1.0,MYOG
44156|MKL2,0.25320954908610965,Mus musculus,MKL2,tf,NIH-3T3,Fibroblast,Embryo,1.0,MKL2
36217|CUX2,0.2537576737309655,Mus musculus,CUX2,tf,,Epithelium,Liver,1.0,CUX2
484|MYB,0.2547400810521011,Mus musculus,MYB,tf,ERMYB,Myeloid Progenitor Cell,Bone Marrow,0.0,MYB
44166|ELK4,0.2550583445345859,Mus musculus,ELK4,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK4
37866|PER2,0.2551451797517757,Mus musculus,PER2,predicted transcription factor,,Epithelium,Liver,0.0,PER2
46403|PAX5,0.2553768158959264,Mus musculus,PAX5,tf,CH12,Lymphoblastoid,Blood,1.0,PAX5
5070|CDK9,0.2557534589076356,Mus musculus,CDK9,tf,,Macrophage,Bone Marrow,1.0,CDK9
44153|SPNS1,0.25578244345436585,Mus musculus,SPNS1,tf,NIH-3T3,Fibroblast,Embryo,1.0,SPNS1
56517|CBX2,0.2558404176916994,Mus musculus,CBX2,cr,E14Tg2A,Embryonic Stem Cell,,1.0,CBX2
8337|SOX11,0.2566818142128857,Mus musculus,SOX11,tf,,Neural Progenitor Cell,Embryo,0.0,SOX11
44151|MKL1,0.25673989462223945,Mus musculus,MKL1,tf,NIH-3T3,Fibroblast,Embryo,1.0,MKL1
50226|ZBTB17,0.25746647659079874,Mus musculus,ZBTB17,tf,70Z/3,Lymphoblast,,0.0,ZBTB17
53432|HNRNPL,0.2578738285957049,Mus musculus,HNRNPL,predicted transcription factor,,Embryonic Stem Cell,,1.0,HNRNPL
58100|SUMO1,0.2583106479845028,Mus musculus,SUMO1,other,,Dendritic Cell,Bone Marrow,1.0,SUMO1
44214|NCOA1,0.2583689195286748,Mus musculus,NCOA1,cr,,Epithelium,Hindbrain,1.0,NCOA1
39601|EGR1,0.25845633961411035,Mus musculus,EGR1,tf,,Dendritic Cell,Bone Marrow,1.0,EGR1
39605|REL,0.2599740520112418,Mus musculus,REL,tf,,Dendritic Cell,Bone Marrow,1.0,REL
5094|BRD2,0.2600325172200326,Mus musculus,BRD2,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD2
504|GATA2,0.26149634767971497,Mus musculus,GATA2,tf,G1E,Erythroid Cell,Blood,1.0,GATA2
3295|GTF2F1,0.26158431185624204,Mus musculus,GTF2F1,tf,,T Lymphocyte,Blood,1.0,GTF2F1
36669|NR2F2,0.26249416352505195,Mus musculus,NR2F2,tf,,,Atria,1.0,NR2F2
2759|STAT4,0.26331735523017274,Mus musculus,STAT4,tf,,T Lymphocyte,Lymph Node,0.0,STAT4
2816|ATF7IP,0.2639945332381605,Mus musculus,ATF7IP,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,ATF7IP
35557|SFMBT1,0.26420080691245185,Mus musculus,SFMBT1,other,,Spermatid,,1.0,SFMBT1
37879|HIF1A,0.2645841042540493,Mus musculus,HIF1A,predicted chromatin regulator,,Dendritic Cell,Bone Marrow,1.0,HIF1A
49094|HOXA9,0.2647906122412336,Mus musculus,HOXA9,tf,,Haematopoietic Progenitor Cell,Bone Marrow,1.0,HOXA9
4397|MAFA,0.2666824771118336,Mus musculus,MAFA,tf,,Epithelium,Pancreatic Islet,0.0,MAFA
35710|EOMES,0.267838673566556,Mus musculus,EOMES,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,EOMES
5221|LYL1,0.2678683527989321,Mus musculus,LYL1,predicted transcription factor,HPC-7,Haematopoietic Progenitor Cell,Bone Marrow,1.0,LYL1
37574|PHOX2A,0.2690866258156757,Mus musculus,PHOX2A,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,PHOX2A
9103|TEAD4,0.26941395197220674,Mus musculus,TEAD4,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,TEAD4
44846|BCL11A,0.26989041880377684,Mus musculus,BCL11A,predicted transcription factor,MEL,Erythroid Progenitor Cell,Blood,1.0,BCL11A
59362|CSTF3,0.2704567704966824,Mus musculus,CSTF3,other,S194,B Lymphocyte,,1.0,CSTF3
52736|RAD23B,0.27102371545048143,Mus musculus,RAD23B,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,RAD23B
47569|PPARGC1A,0.2719200970451021,Mus musculus,PPARGC1A,tf,C2C12,Myoblast,Muscle,0.0,PPARGC1A
