,0,TF
MC00511|Rxrg,0.003788905850098231,Rxrg
MC00186|Nr1d2,0.0038890334940080667,Nr1d2
M00999|AIRE,0.004060982355152778,AIRE
MS00836|HOXD12,0.004281630999763064,HOXD12
MS00812|ELF3,0.004437043179196938,ELF3
UP00125|PITX2,0.004459264560705926,PITX2
UP00192|SIX1,0.004548519670553486,SIX1
M00750|HMGA1,0.004743068252661631,HMGA1
MS00317|HLF,0.004811690420462976,HLF
UP00199|SIX4,0.004831876480087746,SIX4
MS00169|RFX5,0.0050659074992675,RFX5
MC00414|Atoh1,0.0053654522644032655,Atoh1
M00632|GATA4,0.005430722211444738,GATA4
MS00265|MLXIPL,0.00556886087226409,MLXIPL
MC00265|Tcf3,0.005922695164212238,Tcf3
MS00291|Tcf21,0.006030391718860872,Tcf21
MC00364|NFYA,0.006090443515153307,NFYA
MA0130|ZNF354C,0.0064325255588168935,ZNF354C
UP00190|NKX2-3,0.0064358292890178605,NKX2-3
MS00433|DMBX1,0.00651286467508815,DMBX1
M01466|Obox3,0.0067008016933006185,Obox3
M01480|Obox5,0.006891152232806185,Obox5
M00624|DBP,0.007344642912927628,DBP
MS00700|Rarb,0.007844530259955726,Rarb
MS00251|BHLHE41,0.00798387307588337,BHLHE41
MC00370|Npas4,0.008498973470064687,Npas4
MC00250|Nkx3-1,0.008583055406265873,Nkx3-1
MS00287|TFAP4,0.009047583456060817,TFAP4
MS00295|Atf4,0.009246218154030657,Atf4
UP00177|Hoxd12,0.009678510738904394,Hoxd12
MC00191|Nfya,0.01001097727767545,Nfya
UP00249|NKX2-5,0.010335107475067298,NKX2-5
MC00413|Runx1,0.01037918183211193,Runx1
UP00184|Lhx8,0.010514223124341712,Lhx8
M01081|ZNF628,0.010555042982340867,ZNF628
MC00272|CEBPB,0.01056898776986934,CEBPB
MS00243|Ascl2,0.011325912487693091,Ascl2
MS00612|CUX1,0.0117058520181901,CUX1
MA0108|TBP,0.012242217382295585,TBP
MS00060|HSF4,0.012529633690219647,HSF4
MA0164|NR2E3,0.01283359057275103,NR2E3
MS00436|DPRX,0.013073422579865069,DPRX
MS00390|ZNF238,0.013532971281360107,ZNF238
MC00122|Cebpa,0.01367161068269058,Cebpa
MS00088|Meis3,0.013801170958362191,Meis3
MC00371|JUNB,0.01412612920115093,JUNB
MC00352|Nr5a2,0.014326205626714989,Nr5a2
MS00337|NFIL3,0.014551862366772287,NFIL3
MS00261|ID4,0.014855255829974158,ID4
M01450|Obox1,0.01497949725994704,Obox1
M00405|MEF2A,0.01661248463348762,MEF2A
MS00201|SNAI2,0.017691966138303986,SNAI2
MA0051|IRF2,0.01852920644632807,IRF2
MS00316|Dbp,0.018562282325610423,Dbp
MC00312|RUNX1,0.018771154602945924,RUNX1
MC00359|TP53,0.01996349957037178,TP53
MS00214|TBX4,0.021026344386587386,TBX4
MC00204|Stat5b,0.021776309683903084,Stat5b
MS00394|Foxj3,0.021818726876459943,Foxj3
M00420|MEIS1::HOXA9,0.022066865964098896,MEIS1::HOXA9
MS00807|MSC,0.024470109928745338,MSC
MC00321|JUN,0.02472042697253369,JUN
MC00305|Sox6,0.02475602343701688,Sox6
MC00111|Bcl6,0.025118620632038433,Bcl6
MS00271|NEUROD2,0.027316127823107154,NEUROD2
MS00464|GSC,0.027397555547617206,GSC
MC00505|POLR2B,0.028616880572351296,POLR2B
MC00524|Nr1d1,0.028694641957374395,Nr1d1
MS00073|IRF9,0.030098679339073384,IRF9
M01734|NFATC4,0.03351970407342564,NFATC4
UP00107|Nkx2-4,0.0340267746222655,Nkx2-4
MS00091|PKNOX1,0.03559051690860078,PKNOX1
MS00626|VSX1,0.037910424133735965,VSX1
MS00769|SOX7,0.03942837161728735,SOX7
M01132|SF1,0.04027998378376019,SF1
MS00084|MEIS3,0.041406918368548984,MEIS3
MC00458|TAL1,0.041699070621224014,TAL1
MS00480|HOXA10,0.04232404965579283,HOXA10
MS00094|TGIF1,0.04265944359775089,TGIF1
UP00119|Nkx2-9,0.04269742571399074,Nkx2-9
MS00202|TBX20,0.0430900899751545,TBX20
MS00419|BSX,0.04314070673899578,BSX
UP00243|Isx,0.043334698310837166,Isx
MC00456|JUND,0.043455145496314525,JUND
MS00459|GBX1,0.04352418058610085,GBX1
MA0152|NFATC2,0.04457048933486737,NFATC2
MS00254|FIGLA,0.04527210011073356,FIGLA
MS00750|SOX15,0.04536296012806342,SOX15
MS00040|SPIC,0.04761780522823572,SPIC
MS00497|HOXC11,0.04795689163815761,HOXC11
MC00248|USF1,0.04860281127418024,USF1
MS00092|PKNOX2,0.05148541758987624,PKNOX2
UP00052|Osr2,0.05166540512548358,Osr2
UP00170|Isl2,0.05478078281469068,Isl2
MS00744|SOX10,0.055196443477574596,SOX10
MS00418|BARX1,0.05845053351815446,BARX1
