,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
4412|NR1D1,0.14517471965514367,Mus musculus,NR1D1,tf,,Hepatocyte,Liver,1.0,NR1D1
35255|MBD4,0.14583356195490182,Mus musculus,MBD4,cr,,Embryonic Stem Cell,Embryo,0.0,MBD4
47819|GLI3,0.14591605831758814,Mus musculus,GLI3,tf,,Epithelium,Limb Bud,0.0,GLI3
53388|TOP2B,0.14591605831758814,Mus musculus,TOP2B,predicted chromatin regulator,,Neuron,,0.0,TOP2B
54143|GATA4,0.14593668730728793,Mus musculus,GATA4,tf,,Epithelium,,1.0,GATA4
53415|PPARA,0.1459985860343529,Mus musculus,PPARA,tf,,Erythroid Cell,Liver,0.0,PPARA
48108|HNF4A,0.14663923906797902,Mus musculus,HNF4A,tf,,Epithelium,Liver,0.0,HNF4A
41551|CLK1,0.1466599366562344,Mus musculus,CLK1,not sure,,,Liver,1.0,CLK1
51106|CHD8,0.14670133771360505,Mus musculus,CHD8,cr,,Cortex,Brain,1.0,CHD8
55168|CREB1,0.14688773950941808,Mus musculus,CREB1,tf,,Macrophage,Bone Marrow,0.0,CREB1
55308|PRDM1,0.1469291836954576,Mus musculus,PRDM1,tf,,,Small Intestine,0.0,PRDM1
56159|EZH1,0.1472817759122947,Mus musculus,EZH1,cr,,Fibroblast,,1.0,EZH1
48981|WT1 ,0.14730253427726805,Mus musculus,WT1 ,tf,,Epithelium,Kidney,0.0,WT1 
44222|SMARCC2,0.14861426493524305,Mus musculus,SMARCC2,cr,,Epithelium,Face,1.0,SMARCC2
416|LBR,0.15058592744159416,Mus musculus,LBR,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LBR
38476|RYBP,0.15081778736089302,Mus musculus,RYBP,tf,E14,Embryonic Stem Cell,Embryo,0.0,RYBP
39601|EGR1,0.15153594718298902,Mus musculus,EGR1,tf,,Dendritic Cell,Bone Marrow,1.0,EGR1
8336|SOX11,0.15159942319651365,Mus musculus,SOX11,tf,,Neural Progenitor Cell,Embryo,0.0,SOX11
53760|MYO1C,0.15170525582396682,Mus musculus,MYO1C,predicted chromatin regulator,,Embryonic Fibroblast,,1.0,MYO1C
5097|BRD2,0.15170525582396682,Mus musculus,BRD2,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD2
41410|KLF3,0.15187469013682794,Mus musculus,KLF3,tf,,Embryonic Fibroblast,,1.0,KLF3
333|SIN3B,0.15261744300787428,Mus musculus,SIN3B,tf,C2C12,Myoblast,Muscle,0.0,SIN3B
34612|USF1,0.1534052549941019,Mus musculus,USF1,tf,,,Liver,0.0,USF1
5581|SOX6,0.15584947612414374,Mus musculus,SOX6,tf,,Myoblast,Muscle,0.0,SOX6
49094|HOXA9,0.1564537172893058,Mus musculus,HOXA9,tf,,Haematopoietic Progenitor Cell,Bone Marrow,1.0,HOXA9
58145|SIX4,0.15660501830393395,Mus musculus,SIX4,tf,C2C12,Myoblast,Muscle,0.0,SIX4
54461|MYOG,0.15682132964721512,Mus musculus,MYOG,tf,,Myotube cell,Muscle,1.0,MYOG
36217|CUX2,0.15682132964721512,Mus musculus,CUX2,tf,,Epithelium,Liver,1.0,CUX2
5073|CDK9,0.15688626137075018,Mus musculus,CDK9,tf,,Macrophage,Bone Marrow,1.0,CDK9
181|TCF7,0.1571244956757119,Mus musculus,TCF7,tf,3T3-L1,Preadipocyte,Adipose,1.0,TCF7
37900|ETS2,0.15755825817049265,Mus musculus,ETS2,tf,,Dendritic Cell,Bone Marrow,0.0,ETS2
43319|THRB,0.1576668216208742,Mus musculus,THRB,tf,,,Liver,1.0,THRB
44214|NCOA1,0.1576885402066751,Mus musculus,NCOA1,cr,,Epithelium,Hindbrain,1.0,NCOA1
44846|BCL11A,0.1582756848898162,Mus musculus,BCL11A,predicted transcription factor,MEL,Erythroid Progenitor Cell,Blood,1.0,BCL11A
44165|ELK4,0.15877697520519599,Mus musculus,ELK4,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK4
53433|HNRNPL,0.15947615204090648,Mus musculus,HNRNPL,predicted transcription factor,,Embryonic Stem Cell,,1.0,HNRNPL
56296|BRD3,0.15967315811657756,Mus musculus,BRD3,predicted chromatin regulator,5.3S,Haematopoietic Progenitor Cell,,1.0,BRD3
49565|FOS,0.15976076746877615,Mus musculus,FOS,tf,,Cortical Neuron,Neuric,1.0,FOS
37956|YY1,0.15978267471991842,Mus musculus,YY1,tf,,Embryonic Stem Cell,Embryo,0.0,YY1
41419|PSMB1,0.1598045839362946,Mus musculus,PSMB1,not sure,3T3-L1,Preadipocyte,Adipose,1.0,PSMB1
8912|FOXA1,0.16050671649234582,Mus musculus,FOXA1,tf,,Hepatocyte,Liver,1.0,FOXA1
46403|PAX5,0.16114476230715358,Mus musculus,PAX5,tf,CH12,Lymphoblastoid,Blood,1.0,PAX5
326|SIN3A,0.16121086137138324,Mus musculus,SIN3A,tf,C2C12,Myoblast,Muscle,0.0,SIN3A
35710|EOMES,0.16220446953614004,Mus musculus,EOMES,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,EOMES
59433|HEY2,0.1622487222505819,Mus musculus,HEY2,tf,,Cardiomyocyte,,1.0,HEY2
37905|IRF1,0.16280254430289565,Mus musculus,IRF1,tf,,Dendritic Cell,Bone Marrow,0.0,IRF1
44151|MKL1,0.16302441695238246,Mus musculus,MKL1,tf,NIH-3T3,Fibroblast,Embryo,1.0,MKL1
44153|SPNS1,0.16406984993226748,Mus musculus,SPNS1,tf,NIH-3T3,Fibroblast,Embryo,1.0,SPNS1
8860|STAG1,0.1642259239894613,Mus musculus,STAG1,not sure,,Fibroblast,Embryo,1.0,STAG1
55330|NBN,0.16480647027113626,Mus musculus,NBN,tf,,B Lymphocyte,Spleen,1.0,NBN
59293|ATF4,0.16487354181868524,Mus musculus,ATF4,tf,,Embryonic Fibroblast,Embryo,1.0,ATF4
37872|CRY1,0.16532113717700395,Mus musculus,CRY1,not sure,,Epithelium,Liver,0.0,CRY1
68|KLF1,0.16534353756558118,Mus musculus,KLF1,predicted transcription factor,,B Lymphocyte,Liver,0.0,KLF1
44668|RORC,0.16597154571274836,Mus musculus,RORC,tf,,Th17,,1.0,RORC
37887|HIF1A,0.16603892360745476,Mus musculus,HIF1A,predicted chromatin regulator,,Dendritic Cell,Bone Marrow,1.0,HIF1A
5919|TBX20,0.1663310986829445,Mus musculus,TBX20,tf,,Cardiomyocyte,Heart,1.0,TBX20
33695|FAIRE,0.1685216468634449,Mus musculus,FAIRE,other,,Epithelium,,0.0,FAIRE
4410|NFIC,0.1690892138280335,Mus musculus,NFIC,tf,,Fibroblast,Embryo,1.0,NFIC
38179|TBX21,0.1697491275192619,Mus musculus,TBX21,tf,,Th1,,1.0,TBX21
41201|AURKB,0.16999987110889142,Mus musculus,AURKB,not sure,,B Lymphocyte,Spleen,1.0,AURKB
3295|GTF2F1,0.1712113249119236,Mus musculus,GTF2F1,tf,,T Lymphocyte,Blood,1.0,GTF2F1
5464|KDM5B,0.17212927570418773,Mus musculus,KDM5B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KDM5B
39374|ERG,0.17212927570418773,Mus musculus,ERG,other,,Epithelium,Prostate,0.0,ERG
3249|FLI1,0.17415980092011696,Mus musculus,FLI1,tf,,Th2,Blood,0.0,FLI1
52986|KDM3A,0.17460020012069827,Mus musculus,KDM3A,cr,,Adipocyte,,1.0,KDM3A
3033|MLLT3,0.17571593422155984,Mus musculus,MLLT3,not sure,,Leukemic Blast Cell,Bone Marrow,1.0,MLLT3
59458|AFF3,0.17571593422155984,Mus musculus,AFF3,tf,,Embryonic Fibroblast,,1.0,AFF3
41635|POLR3G,0.17683617479991715,Mus musculus,POLR3G,tf,,Epithelium,Liver,1.0,POLR3G
54378|BCL3,0.17885453350080815,Mus musculus,BCL3,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,BCL3
8649|AICDA,0.1789487622049119,Mus musculus,AICDA,cr,,B Lymphocyte,Blood,1.0,AICDA
40138|MAF,0.17904302214390855,Mus musculus,MAF,tf,,Th0,,1.0,MAF
58629|DZIP3,0.18186153286403245,Mus musculus,DZIP3,not sure,,Embryonic Stem Cell,,1.0,DZIP3
51887|PRDM16,0.18195675230629005,Mus musculus,PRDM16,tf,,,Adipose,1.0,PRDM16
35211|NCOA3,0.1828628913163756,Mus musculus,NCOA3,cr,E14,Embryonic Stem Cell,Embryo,1.0,NCOA3
35557|SFMBT1,0.18487590814206595,Mus musculus,SFMBT1,other,,Spermatid,,1.0,SFMBT1
44629|TEAD2,0.18494805539056716,Mus musculus,TEAD2,tf,Py2T,Epithelium,Mammary Gland,0.0,TEAD2
53084|NKX3-2,0.1876783308548205,Mus musculus,NKX3-2,tf,NIH-3T3,Fibroblast,Embryo,1.0,NKX3-2
54238|BARX1,0.18782399401008135,Mus musculus,BARX1,tf,,Mesenchymal Cell,Stomach,1.0,BARX1
50722|UBTF,0.18789685176244,Mus musculus,UBTF,tf,NIH-3T3,Fibroblast,Embryo,1.0,UBTF
36721|TOP2A,0.18923566825811827,Mus musculus,TOP2A,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,TOP2A
41944|KDM6B,0.1896262422944368,Mus musculus,KDM6B,cr,,Embryonic Stem Cell,Embryo,1.0,KDM6B
8607|POLR3A,0.1911443952544451,Mus musculus,POLR3A,tf,,Epithelium,Liver,1.0,POLR3A
58557|PDX1,0.1922016715915575,Mus musculus,PDX1,tf,BetaTC6,,,1.0,PDX1
33753|SOX17,0.1935097373456116,Mus musculus,SOX17,tf,KH2,Embryonic Stem Cell,Embryo,1.0,SOX17
35722|ELF5,0.1959676060424264,Mus musculus,ELF5,tf,TSC,Trophoblast Stem Cell,Embryo,1.0,ELF5
51241|RFX5,0.19709105224533865,Mus musculus,RFX5,tf,,T Lymphocyte,,1.0,RFX5
52226|E4F1,0.19902241076852525,Mus musculus,E4F1,tf,,Embryonic Fibroblast,Embryo,1.0,E4F1
51910|STAT2,0.20159832027585745,Mus musculus,STAT2,predicted transcription factor,,Macrophage,Bone Marrow,1.0,STAT2
56606|SATB2,0.2023343173091618,Mus musculus,SATB2,tf,,Cortex,Brain,1.0,SATB2
53728|SMCHD1,0.20442409076064488,Mus musculus,SMCHD1,predicted chromatin regulator,,Neural Stem Cell,,1.0,SMCHD1
52365|RARA,0.20534559585135848,Mus musculus,RARA,tf,,T Lymphocyte,Spleen,1.0,RARA
52891|NCOR2,0.2070156602501116,Mus musculus,NCOR2,cr,,Macrophage,Bone,0.0,NCOR2
32994|TAF7L,0.20975632366126276,Mus musculus,TAF7L,predicted transcription factor,10T1/2,Fibroblast,Embryo,1.0,TAF7L
2984|AFF4,0.2110304102357809,Mus musculus,AFF4,tf,,Embryonic Stem Cell,Embryo,1.0,AFF4
52238|RUVBL1,0.21238745108200496,Mus musculus,RUVBL1,cr,,Embryonic Stem Cell,,0.0,RUVBL1
56133|RBFOX2,0.21380206828035148,Mus musculus,RBFOX2,other,,,Heart,1.0,RBFOX2
173|RXRG,0.222001673204404,Mus musculus,RXRG,tf,3T3-L1,Preadipocyte,Adipose,1.0,RXRG
59362|CSTF3,0.22466622411468867,Mus musculus,CSTF3,other,S194,B Lymphocyte,,1.0,CSTF3
41638|POLR3GL,0.2255042928163517,Mus musculus,POLR3GL,tf,,Epithelium,Liver,1.0,POLR3GL
5221|LYL1,0.22593753579574186,Mus musculus,LYL1,predicted transcription factor,HPC-7,Haematopoietic Progenitor Cell,Bone Marrow,1.0,LYL1
37400|PR,0.2264526225413564,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0,PR
6024|NFYA,0.2269412105201725,Mus musculus,NFYA,tf,,Neural Progenitor Cell,Brain,1.0,NFYA
9103|TEAD4,0.229037979417818,Mus musculus,TEAD4,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,TEAD4
44155|MKL2,0.2298031269670461,Mus musculus,MKL2,tf,NIH-3T3,Fibroblast,Embryo,1.0,MKL2
9260|HDAC2,0.22993991090927485,Mus musculus,HDAC2,cr,,Myoblast,Skeletal Muscle,1.0,HDAC2
41323|CTR9,0.2317222434536497,Mus musculus,CTR9,both predicted transcription factor and chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,CTR9
451|SMAD2,0.23572581816126875,Mus musculus,SMAD2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,SMAD2
55621|POU3F3,0.23633657248421264,Mus musculus,POU3F3,tf,,Neural Stem Cell,,1.0,POU3F3
33940|EHF,0.2403556731251913,Mus musculus,EHF,tf,,,Corneal Epithelium,0.0,EHF
37574|PHOX2A,0.2447796993509673,Mus musculus,PHOX2A,tf,Ainv15,Neural Progenitor Cell,Embryo,1.0,PHOX2A
5372|SS18,0.2463682370987321,Mus musculus,SS18,not sure,C2C12,Myoblast,Muscle,1.0,SS18
48698|SOX3,0.24673779344555685,Mus musculus,SOX3,predicted transcription factor,,Neural Progenitor Cell,,1.0,SOX3
