,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
53213|DAXX,0.0040066851092761535,Mus musculus,DAXX,not sure,,Embryonic Stem Cell,Embryo,1.0,DAXX
40114|RORC,0.004012274997838239,Mus musculus,RORC,tf,,Th17,,1.0,RORC
35690|KMT2C,0.004025684390749962,Mus musculus,KMT2C,cr,,Epithelium,Liver,0.0,KMT2C
32916|BRCA1,0.004034738938973992,Mus musculus,BRCA1,predicted chromatin regulator,,B Lymphocyte,Spleen,1.0,BRCA1
56096|HDAC1,0.004037364933035026,Mus musculus,HDAC1,cr,,Embryonic Stem Cell,Embryo,1.0,HDAC1
48389|H3S28ph,0.004038241998003067,Mus musculus,H3S28ph,other,Swiss-3T3,Fibroblast,,1.0,H3S28ph
43318|EP400,0.004044794998569912,Mus musculus,EP400,cr,,Embryonic Stem Cell,Embryo,1.0,EP400
55371|PAX6,0.004065523040627073,Mus musculus,PAX6,tf,,,lens,1.0,PAX6
331|SIN3B,0.00409369835294171,Mus musculus,SIN3B,tf,C2C12,Myoblast,Muscle,0.0,SIN3B
51015|SCML2,0.004148750832460357,Mus musculus,SCML2,tf,,Germline stem cell,,1.0,SCML2
33753|SOX17,0.004151580126346588,Mus musculus,SOX17,tf,KH2,Embryonic Stem Cell,Embryo,1.0,SOX17
37870|PER1,0.004220652857330698,Mus musculus,PER1,predicted transcription factor,,Epithelium,Liver,0.0,PER1
8606|AICDA,0.004241293045222472,Mus musculus,AICDA,cr,,B Lymphocyte,Blood,1.0,AICDA
39587|EGR1,0.004277458092008468,Mus musculus,EGR1,tf,,Dendritic Cell,Bone Marrow,1.0,EGR1
485|MYB,0.004327931039178112,Mus musculus,MYB,tf,ERMYB,Myeloid Progenitor Cell,Bone Marrow,1.0,MYB
53010|KAT2B,0.004336642462789919,Mus musculus,KAT2B,predicted chromatin regulator,,Embryonic Stem Cell,,1.0,KAT2B
35211|NCOA3,0.004373335586087157,Mus musculus,NCOA3,cr,E14,Embryonic Stem Cell,Embryo,1.0,NCOA3
38179|TBX21,0.004421423119472523,Mus musculus,TBX21,tf,,Th1,,1.0,TBX21
43874|Ubiquitin,0.004424936998508933,Mus musculus,Ubiquitin,other,3T3-L1,Preadipocyte,Adipose,1.0,Ubiquitin
48666|ATRX,0.0044541711395251204,Mus musculus,ATRX,cr,,Fibroblast,,1.0,ATRX
44448|OVOL2,0.004487821262351088,Mus musculus,OVOL2,tf,,Epithelium,,1.0,OVOL2
35248|MBD2,0.004490887655923925,Mus musculus,MBD2,cr,,Embryonic Stem Cell,Embryo,0.0,MBD2
36218|CUX2,0.00451433713378252,Mus musculus,CUX2,tf,,Epithelium,Liver,1.0,CUX2
3039|CRX,0.004541519971862085,Mus musculus,CRX,other,,,Retina,1.0,CRX
36996|CHD4,0.004554787273642724,Mus musculus,CHD4,cr,,iPSC,,1.0,CHD4
5099|BRD3,0.0045688705656316,Mus musculus,BRD3,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD3
44215|NCOA2,0.0045765325913298405,Mus musculus,NCOA2,cr,,Epithelium,Hindbrain,1.0,NCOA2
34445|OGT,0.004674062881179053,Mus musculus,OGT,other,,Embryonic Stem Cell,Embryo,0.0,OGT
50212|GTF2B,0.00470839662688699,Mus musculus,GTF2B,tf,,,Heart,0.0,GTF2B
35710|EOMES,0.004760081519078141,Mus musculus,EOMES,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,EOMES
55758|IRF8,0.0048208538244767785,Mus musculus,IRF8,tf,,B Lymphocyte,,1.0,IRF8
52722|TCF7,0.004850227839277688,Mus musculus,TCF7,tf,,Thymocyte,,1.0,TCF7
9165|KDM4D,0.004881026732128202,Mus musculus,KDM4D,cr,,Dendritic Cell,,1.0,KDM4D
41418|PSMB1,0.004886025003093597,Mus musculus,PSMB1,not sure,3T3-L1,Preadipocyte,Adipose,1.0,PSMB1
5070|CDK9,0.004904747144530097,Mus musculus,CDK9,tf,,Macrophage,Bone Marrow,1.0,CDK9
9157|NKX3-1,0.0049296171008788026,Mus musculus,NKX3-1,tf,,Epithelium,Prostate,0.0,NKX3-1
37889|IRF1,0.004942570186010242,Mus musculus,IRF1,tf,,Dendritic Cell,Bone Marrow,1.0,IRF1
9270|CTCFL,0.004949678945297076,Mus musculus,CTCFL,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,CTCFL
44533|PHC1,0.0049772993547637645,Mus musculus,PHC1,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,PHC1
47460|TWIST1,0.004991609380110951,Mus musculus,TWIST1,tf,,Epithelium,Limb Bud,1.0,TWIST1
41364|WDR5,0.004995571433229096,Mus musculus,WDR5,cr,,Neural Progenitor Cell,,0.0,WDR5
44678|ESRRB,0.0049983566424015025,Mus musculus,ESRRB,tf,ZhBTc4,Embryonic Stem Cell,Embryo,1.0,ESRRB
3249|FLI1,0.005042297029994314,Mus musculus,FLI1,tf,,Th2,Blood,0.0,FLI1
5581|SOX6,0.0050500510326491055,Mus musculus,SOX6,tf,,Myoblast,Muscle,0.0,SOX6
56091|SMARCA5,0.00507257665603289,Mus musculus,SMARCA5,cr,,,Nucleus Accumben,1.0,SMARCA5
5367|LUZP1,0.00510653918814391,Mus musculus,LUZP1,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LUZP1
43789|POU3F1,0.005128268019995386,Mus musculus,POU3F1,tf,,Embryonic Stem Cell,Embryo,1.0,POU3F1
4511|RAP1A,0.005154762764527254,Mus musculus,RAP1A,not sure,,Fibroblast,Embryo,1.0,RAP1A
5919|TBX20,0.005186573087684776,Mus musculus,TBX20,tf,,Cardiomyocyte,Heart,1.0,TBX20
35619|GRIP1,0.005189653946184314,Mus musculus,GRIP1,not sure,,Macrophage,Bone Marrow,1.0,GRIP1
54301|H3F3B,0.005190484714718835,Mus musculus,H3F3B,other,R1,Embryonic Stem Cell,Embryo,0.0,H3F3B
5096|BRD2,0.0051956318463450835,Mus musculus,BRD2,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD2
52365|RARA,0.005214888838171505,Mus musculus,RARA,tf,,T Lymphocyte,Spleen,1.0,RARA
51235|NLRC5,0.005215318492398202,Mus musculus,NLRC5,tf,,T Lymphocyte,,1.0,NLRC5
41551|CLK1,0.005215576479583872,Mus musculus,CLK1,not sure,,,Liver,1.0,CLK1
48851|KDM4A,0.0052177674567824295,Mus musculus,KDM4A,cr,3T3-L1,Preadipocyte,Adipose,1.0,KDM4A
38069|CBX3,0.005224466174853393,Mus musculus,CBX3,cr,,Embryonic Stem Cell,Embryo,1.0,CBX3
35826|KDM6A,0.005228563684824716,Mus musculus,KDM6A,cr,C2C12,Myoblast,Muscle,1.0,KDM6A
44168|ELK3,0.005235702393752817,Mus musculus,ELK3,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK3
39072|SMC3,0.005236334105404639,Mus musculus,SMC3,predicted chromatin regulator,,Embryonic Fibroblast,Embryo,1.0,SMC3
54462|MYOG,0.005242470687030598,Mus musculus,MYOG,tf,,Myotube cell,Muscle,1.0,MYOG
