,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
2816|ATF7IP,0.5736697339709619,Mus musculus,ATF7IP,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,ATF7IP
47110|POLR3A,0.5867122367998893,Mus musculus,POLR3A,tf,,,Skin,1.0,POLR3A
53793|BATF3,0.5936730505046651,Mus musculus,BATF3,tf,,Dendritic Cell,,1.0,BATF3
36669|NR2F2,0.5938903681859861,Mus musculus,NR2F2,tf,,,Atria,1.0,NR2F2
49082|GM6871,0.5946208522136582,Mus musculus,GM6871,other,ES3,Embryonic Stem Cell,Embryo,0.0,GM6871
41753|ASH1L,0.6036376125685962,Mus musculus,ASH1L,cr,,Embryonic Stem Cell,Embryo,1.0,ASH1L
54346|KCR,0.6086707124249362,Mus musculus,KCR,other,,Germline stem cell,,1.0,KCR
46405|RCOR1,0.6132979480560177,Mus musculus,RCOR1,both predicted transcription factor and chromatin regulator,CH12,Lymphoblastoid,Blood,1.0,RCOR1
59041|DDX5,0.6178941291994393,Mus musculus,DDX5,predicted chromatin regulator,,Th17,,0.0,DDX5
44167|ELK3,0.6239804102133221,Mus musculus,ELK3,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK3
39355|ESRRA,0.6293601627983261,Mus musculus,ESRRA,tf,,Epithelium,Liver,1.0,ESRRA
57296|TEC,0.6311838113320429,Mus musculus,TEC,other,,Epithelium,,1.0,TEC
44270|MAX,0.6421088324497454,Mus musculus,MAX,tf,E14,Embryonic Stem Cell,Embryo,1.0,MAX
9103|TEAD4,0.6455534052390135,Mus musculus,TEAD4,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,TEAD4
52987|KDM3A,0.6466863340934477,Mus musculus,KDM3A,cr,,Adipocyte,,1.0,KDM3A
58102|SUMO2,0.6582815580766528,Mus musculus,SUMO2,other,,Dendritic Cell,Bone Marrow,1.0,SUMO2
58851|MTA2,0.659087872439886,Mus musculus,MTA2,tf,,Thymocyte,Thymus,1.0,MTA2
53639|NLRP3,0.6602880450832995,Mus musculus,NLRP3,other,,T Lymphocyte,Spleen,1.0,NLRP3
9334|TBP,0.6602880450832995,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,0.0,TBP
33050|SRSF2,0.6602880450832995,Mus musculus,SRSF2,other,,Embryonic Fibroblast,Embryo,0.0,SRSF2
56095|TGIF1,0.6674811059650737,Mus musculus,TGIF1,tf,,Embryonic Stem Cell,Embryo,1.0,TGIF1
50722|UBTF,0.6752866934933592,Mus musculus,UBTF,tf,NIH-3T3,Fibroblast,Embryo,1.0,UBTF
43424|ASCL2,0.6764682560402562,Mus musculus,ASCL2,tf,,T Lymphocyte,Blood,1.0,ASCL2
5463|KDM5B,0.6766558917038809,Mus musculus,KDM5B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KDM5B
4513|RFX1,0.6874435923131526,Mus musculus,RFX1,tf,,Neural Progenitor Cell,Embryo,0.0,RFX1
44364|ING1,0.6945709735000474,Mus musculus,ING1,predicted chromatin regulator,C2C12,Myoblast,Muscle,1.0,ING1
44368|KMT2A,0.6983516503912711,Mus musculus,KMT2A,not sure,C2C12,Myoblast,Muscle,1.0,KMT2A
47618|MSL2,0.6985136309745739,Mus musculus,MSL2,cr,WT26,Embryonic Stem Cell,Embryo,1.0,MSL2
5467|IKZF3,0.698700609244007,Mus musculus,IKZF3,tf,,Thymocyte,Thymus,1.0,IKZF3
41634|POLR3D,0.7014160137804867,Mus musculus,POLR3D,tf,,Epithelium,Liver,1.0,POLR3D
56273|AEBP2,0.7030708781073526,Mus musculus,AEBP2,tf,,,Thymus,0.0,AEBP2
39098|MZF1,0.7054633206302378,Mus musculus,MZF1,tf,,B Lymphocyte,,1.0,MZF1
39127|KAT8,0.7084464252436904,Mus musculus,KAT8,cr,,Embryonic Stem Cell,Embryo,1.0,KAT8
32994|TAF7L,0.7210093248758952,Mus musculus,TAF7L,predicted transcription factor,10T1/2,Fibroblast,Embryo,1.0,TAF7L
47427|INO80,0.7229659863993392,Mus musculus,INO80,predicted chromatin regulator,J1,Embryonic Stem Cell,Embryo,1.0,INO80
48619|NFYB,0.7243814695570331,Mus musculus,NFYB,tf,E14,Embryonic Stem Cell,Embryo,1.0,NFYB
50226|ZBTB17,0.7380339750214606,Mus musculus,ZBTB17,tf,70Z/3,Lymphoblast,,0.0,ZBTB17
9241|MYF5,0.7407070697008309,Mus musculus,MYF5,tf,,Myoblast,Skeletal Muscle,1.0,MYF5
2820|CTR9,0.7477400283771831,Mus musculus,CTR9,both predicted transcription factor and chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0,CTR9
4606|TAF3,0.7538805532788975,Mus musculus,TAF3,cr,,Embryonic Stem Cell,Embryo,1.0,TAF3
44448|OVOL2,0.7585729357122579,Mus musculus,OVOL2,tf,,Epithelium,,1.0,OVOL2
3295|GTF2F1,0.7626576086618975,Mus musculus,GTF2F1,tf,,T Lymphocyte,Blood,1.0,GTF2F1
5582|SOX6,0.7632793654411738,Mus musculus,SOX6,tf,,Myoblast,Muscle,0.0,SOX6
8567|HOXB4,0.7644665404175588,Mus musculus,HOXB4,tf,,Embryonic Stem Cell,Embryo,1.0,HOXB4
48133|SRC,0.7714321371505201,Mus musculus,SRC,not sure,,Epithelium,Prostate,1.0,SRC
4587|STAT4,0.7721955825843236,Mus musculus,STAT4,tf,,T Lymphocyte,Blood,1.0,STAT4
6010|MAPK8,0.7867566003925592,Mus musculus,MAPK8,not sure,,Embryonic Stem Cell,Embryo,1.0,MAPK8
59294|CEBPG,0.7868884844048792,Mus musculus,CEBPG,tf,,Embryonic Fibroblast,Embryo,1.0,CEBPG
51241|RFX5,0.7957281202377415,Mus musculus,RFX5,tf,,T Lymphocyte,,1.0,RFX5
48620|NFYC,0.798239116990104,Mus musculus,NFYC,tf,E14,Embryonic Stem Cell,Embryo,1.0,NFYC
56606|SATB2,0.798828728717187,Mus musculus,SATB2,tf,,Cortex,Brain,1.0,SATB2
44215|NCOA2,0.8007178978957079,Mus musculus,NCOA2,cr,,Epithelium,Hindbrain,1.0,NCOA2
49497|CDK8,0.8049513457177627,Mus musculus,CDK8,tf,R1,Embryonic Stem Cell,Embryo,1.0,CDK8
3292|GTF2A1,0.8107649087560993,Mus musculus,GTF2A1,tf,,T Lymphocyte,Blood,1.0,GTF2A1
52828|GRHL2,0.8141769272707429,Mus musculus,GRHL2,tf,,,Placenta,1.0,GRHL2
48407|TAF9B,0.8191380745106727,Mus musculus,TAF9B,not sure,HBG3,Neuron,,1.0,TAF9B
33909|GLI1,0.8204907537493306,Mus musculus,GLI1,tf,,,Embryo,1.0,GLI1
3039|CRX,0.8226181756702519,Mus musculus,CRX,other,,,Retina,1.0,CRX
39309|CAPG,0.8319050443402214,Mus musculus,CAPG,predicted chromatin regulator,V6.5,Embryonic Stem Cell,Embryo,1.0,CAPG
57817|GFI1B,0.8324426314296256,Mus musculus,GFI1B,predicted transcription factor,MEL,Erythroid Progenitor Cell,Blood,1.0,GFI1B
8841|ELL,0.8349215193821995,Mus musculus,ELL,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,ELL
