,0
MS00304|CREB3L1,0.0023207127040244567
MC00344|Hnf4a,0.002566972692016714
MS00490|ZSCAN4,0.0025936141558784284
MC00134|Ppara,0.0027260804782852552
MC00364|NFYA,0.002782816796213207
M00792|SMAD1,0.0035001925697100557
M00983|MAF,0.003625022385752112
MS00651|NR2C2,0.0037457328325176476
M00514|ATF4,0.0037476734676028336
M00749|SREBF1,0.0038135880860411873
MS00515|Hoxa11,0.003966033878224879
MS00266|MLX,0.004020191809656549
MS00253|CLOCK,0.004111308440851535
MS00117|PAX1,0.0041775248867756635
MC00339|NFE2L2,0.004222366480930605
MC00371|JUNB,0.004348407632019234
MS00302|CEBPG,0.004392890843775355
UP00193|Rhox11,0.004584212451344238
UP00040|Irf5,0.004786540097310361
M00518|PPARG::RXRA,0.0049902795995977025
MC00386|BCL6,0.005065448947106832
MC00468|AR,0.005469470568447252
MS00299|CEBPD,0.005881205701651386
MS00822|NFIX,0.005944340695984866
MS00115|NFIX,0.0063244139559361584
MC00132|TP73,0.00640331123284592
MC00113|SP1,0.006531625501764863
M00486|PAX2,0.0065642611487347294
MC00154|Jund,0.006701094744457415
MC00456|JUND,0.006742253117287974
M01450|Obox1,0.00683079710259419
MC00414|Atoh1,0.007102524472035498
MS00289|TFEB,0.007120954252060235
M00712|MYOG,0.007205625430058496
MC00351|FOSL1,0.007237138092407449
UP00052|Osr2,0.007405602372986031
UP00018|Irf4,0.007581314746817871
MC00359|TP53,0.007754410407986752
MC00518|Tfcp2,0.007995167081256202
MS00201|SNAI2,0.008105579577893459
M01364|Obox2,0.008322977085517587
UP00056|RFX4,0.00883298430580622
MS00157|Klf12,0.0088632681896809
MC00439|TP63,0.00908591826105407
M01295|ATF5,0.009681429430254192
MS00254|FIGLA,0.011253187230339114
MC00219|TCF4,0.011481047814251372
M00490|BACH2,0.011613815213049801
M00088|IKZF1,0.01169020806318287
MS00179|SCRT1,0.012110003024929844
M00115|CNTN2::CREB1,0.012538166324309286
MS00161|RFX2,0.0125823298589497
MS00475|HMX3,0.012798753234031218
UP00186|MEIS1,0.012806261329528609
MC00358|Ebf1,0.013437046294955252
MS00327|MAFG,0.014056255590699767
M00467|ZNF423,0.014839986852787278
UP00043|Bcl6b,0.01515529587456242
MC00473|ATF3,0.015196050839595899
MS00171|Rfx2,0.015478057549006895
MS00376|FOXO1,0.015784055636462867
UP00249|NKX2-5,0.016562996723552426
MS00579|TFCP2,0.01725810291939915
MS00027|FLI1,0.01746678162440314
MS00170|Rfx2,0.017826691044231003
MC00465|NR3C1,0.018589389420091435
M00964|NR1I2,0.019319558085444805
MC00135|Rela,0.020175740939175228
MC00511|Rxrg,0.020591171062073314
MC00207|ELK4,0.02068537465662389
MC00330|FOS,0.0217440005740489
M01069|GZF1,0.021746624471040612
M01466|Obox3,0.022386266833016776
MS00657|NR2F1,0.02261117413217629
MA0101|REL,0.02319856415286656
MS00820|NFIA,0.02323342199264896
UP00086|IRF3,0.026364887778475114
M01479|POU6F1,0.02707778582591795
M01081|ZNF628,0.02768074920032119
MA0131|HINFP,0.027866712256715956
MS00125|PAX6,0.028051963718746086
MS00124|KLF13,0.02847494547769796
MS00807|MSC,0.028938050540906552
MA0017|NR2F1,0.029705477142411323
MS00128|PAX9,0.02998759763713579
MS00182|GMEB2,0.03042449741506656
MS00169|RFX5,0.030764475577694753
MS00436|DPRX,0.03175330016087671
MS00300|CEBPE,0.032180666423833056
M00694|E4F1,0.03251543487754143
MS00291|Tcf21,0.032763185057095294
MS00247|BHLHB2,0.033415399871229386
UP00237|Otp,0.03436293793904303
M00159|CEBPA,0.035421997977159995
MC00334|SIX5,0.035829290724034346
UP00148|Hdx,0.036238029795997544
MS00100|MYBL1,0.03634808941698197
MS00726|PRDM4,0.038173293773792916
MS00265|MLXIPL,0.038429964495997004
MS00177|RUNX3,0.038812913751813866
MS00268|YY2,0.039365580900127796
UP00190|NKX2-3,0.03987873285565803
MS00145|POU3F4,0.040548908965195224
MC00272|CEBPB,0.0414588121410696
MC00309|TCF7L2,0.04228424682977749
MC00191|Nfya,0.04258316393441163
MA0161|NFIC,0.04287218232704544
MS00343|FOXB1,0.044891752668765404
M01744|ZFP42,0.04588361455070163
MC00160|ETV3,0.046312949215698646
MA0067|PAX2,0.04768722944627962
MS00571|NKX2-8,0.04854335429179138
M01728|NR2F6,0.04927912533821839
MS00093|Pknox2,0.04998031014026519
M00808|PAX1,0.05068013307210314
MA0066|PPARG,0.05140205942464672
MS00261|ID4,0.054081721503103704
MS00075|MEF2B,0.05438869442173324
MS00548|Lhx8,0.054634185623550796
M01010|HMGA1,0.05474255307804227
MC00357|Crx,0.05490271329072263
MS00533|LBX2,0.05496658202891953
M00632|GATA4,0.055084890135409056
MS00207|TBX21,0.05699439177851692
UP00066|HNF4A,0.05755348919072912
MS00287|TFAP4,0.0577891987926228
MS00062|HSFY2,0.05815494784509539
MS00248|BHLHB3,0.05892537475879913
UP00184|Lhx8,0.05999855998662943
MC00411|BATF,0.06004629631047154
MA0108|TBP,0.06038363586735712
M00495|BACH1,0.06047518109754005
MS00270|Mlx,0.0616318255866695
MC00248|USF1,0.06330358003750823
MS00493|HOXB5,0.0648790662729157
MS00131|POU2F1,0.0679674550958649
M00483|ATF6,0.07166168146220855
MS00788|SRY,0.0729205672726779
UP00199|SIX4,0.07579828157508071
MS00398|Foxk1,0.07584649493566538
MC00408|Myb,0.07917464277112042
MS00638|ESRRG,0.07955197506214191
M00515|PPARG::RXRA,0.0837142369740386
MS00731|ZNF713,0.0840482637720333
MC00508|Batf,0.08465860612274669
MS00168|PRDM1,0.08509893838173452
M00179|ATF2,0.08593372925057553
MC00141|Stat1,0.08597173350467942
UP00038|Spdef,0.08704549336322567
MC00287|POU2F2,0.08726398828207545
M01247|NANOG,0.08757111049761529
M01230|ZNF333,0.08946970280875556
M01734|NFATC4,0.08962004119825427
MS00705|Rarg,0.08963185929145848
M00141|IKZF1,0.09056023804612263
MS00808|TFEC,0.0921599704211363
M01171|BCL6,0.09392355411388023
MC00432|HNF4A,0.09397615593826812
UP00137|Hoxb3,0.09402948609929321
MS00095|TGIF2LX,0.09408918332372271
UP00027|Osr1,0.09561543200120888
MS00102|MYBL2,0.0987927413942068
MS00336|NFE2,0.10063190996428867
MC00136|Hoxb4,0.10100375923414737
MC00195|Myf5,0.10262643466043925
MC00293|Gfi1b,0.10492275869329347
MS00390|ZNF238,0.10910868628602356
UP00197|HOXC9,0.11368786733930546
M00326|PAX1,0.1157606540144485
MS00504|HOXC13,0.11663813064981686
MS00468|ZNF75A,0.11732975083556609
MS00848|ERG,0.11923972797299782
MC00355|SRF,0.12052853874020726
MS00684|RARG,0.12274605043227868
MS00065|IRF4,0.12445241856257538
MS00094|TGIF1,0.1255831472797563
MS00326|MAFF,0.1299924963301145
MS00511|HOXD13,0.1302211584254711
M00993|TAL1,0.1317450749219435
MC00356|Tbx21,0.1324484083488972
MS00573|NKX3-2,0.13444442471779713
MS00694|RXRG,0.136151627071544
MS00072|IRF8,0.13726572907563492
M01709|MAFA,0.13772965012864774
UP00107|Nkx2-4,0.1378002331373733
MS00330|MAFK,0.14014302226692701
MS00282|Srebf1,0.14259426735490877
MC00507|Meis1,0.14334561828757275
M01445|Obox6,0.1436044823610734
MC00119|GATA3,0.14400284570555294
M00526|NR6A1,0.1452500852452864
UP00058|TCF3,0.14616259341879942
UP00009|Nr2f2,0.14957808353071825
MS00501|Zfp652,0.15194785700977798
MS00479|ZNF784,0.15196444253731972
MS00214|TBX4,0.15469107820969075
