,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
34531|POU3F2,0.23328132831621579,Mus musculus,POU3F2,tf,,Embryonic Stem Cell,Embryo,1.0,POU3F2
35734|CDX2,0.23337027374984415,Mus musculus,CDX2,tf,,Epithelium,Small Intestine,1.0,CDX2
41978|EHMT2,0.2338506231402891,Mus musculus,EHMT2,cr,,Embryonic Stem Cell,Embryo,1.0,EHMT2
55331|NBN,0.23409865155634457,Mus musculus,NBN,tf,,B Lymphocyte,Spleen,1.0,NBN
48981|WT1 ,0.23513279584583086,Mus musculus,WT1 ,tf,,Epithelium,Kidney,0.0,WT1 
487|MYB,0.23711542920283846,Mus musculus,MYB,tf,ERMYB,Myeloid Progenitor Cell,Bone Marrow,1.0,MYB
36726|TOP2A,0.23784516989305943,Mus musculus,TOP2A,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,TOP2A
5185|BCL6,0.23894583269470154,Mus musculus,BCL6,predicted transcription factor,,Macrophage,Bone Marrow,1.0,BCL6
54705|BRWD1,0.24055707319882147,Mus musculus,BRWD1,cr,,B Lymphocyte,,0.0,BRWD1
59433|HEY2,0.24060343438402154,Mus musculus,HEY2,tf,,Cardiomyocyte,,1.0,HEY2
37900|ETS2,0.2407891899708059,Mus musculus,ETS2,tf,,Dendritic Cell,Bone Marrow,0.0,ETS2
8610|POLR3D,0.2410256153239972,Mus musculus,POLR3D,tf,,Epithelium,Liver,1.0,POLR3D
36217|CUX2,0.24224365640085166,Mus musculus,CUX2,tf,,Epithelium,Liver,1.0,CUX2
43424|ASCL2,0.2422465092981737,Mus musculus,ASCL2,tf,,T Lymphocyte,Blood,1.0,ASCL2
37715|PRDM4,0.24283920499816253,Mus musculus,PRDM4,tf,CCE,Embryonic Stem Cell,Embryo,1.0,PRDM4
50722|UBTF,0.2436073144880383,Mus musculus,UBTF,tf,NIH-3T3,Fibroblast,Embryo,1.0,UBTF
38476|RYBP,0.24399505568053265,Mus musculus,RYBP,tf,E14,Embryonic Stem Cell,Embryo,0.0,RYBP
44847|BIRA,0.245068318920457,Mus musculus,BIRA,not sure,MEL,Erythroid Progenitor Cell,Blood,1.0,BIRA
5101|BRD3,0.24906042839091802,Mus musculus,BRD3,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD3
33821|IRF4,0.24937657450400136,Mus musculus,IRF4,predicted transcription factor,,T Lymphocyte,Blood,1.0,IRF4
32928|SMC5,0.24944811940754347,Mus musculus,SMC5,predicted chromatin regulator,,B Lymphocyte,Spleen,1.0,SMC5
56092|BAZ1A,0.24998861612524487,Mus musculus,BAZ1A,cr,,,Nucleus Accumben,1.0,BAZ1A
9165|KDM4D,0.25045727239064297,Mus musculus,KDM4D,cr,,Dendritic Cell,,1.0,KDM4D
6022|MAPK8,0.25056424905715924,Mus musculus,MAPK8,not sure,,Neural Progenitor Cell,Embryo,1.0,MAPK8
52904|MED23,0.25077640526909384,Mus musculus,MED23,predicted transcription factor,,Cortical Neuron,,1.0,MED23
51240|NLRC5,0.25130621509070294,Mus musculus,NLRC5,tf,,T Lymphocyte,,1.0,NLRC5
43438|USP16,0.25227528339799055,Mus musculus,USP16,other,V6.5,Embryonic Stem Cell,Embryo,1.0,USP16
39068|SMC3,0.2560071004061733,Mus musculus,SMC3,predicted chromatin regulator,,Embryonic Fibroblast,Embryo,1.0,SMC3
44153|SPNS1,0.2564200081696232,Mus musculus,SPNS1,tf,NIH-3T3,Fibroblast,Embryo,1.0,SPNS1
5071|CDK9,0.25657016071589245,Mus musculus,CDK9,tf,,Macrophage,Bone Marrow,1.0,CDK9
44163|ELK4,0.25676200706332475,Mus musculus,ELK4,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK4
173|RXRG,0.2570703916440795,Mus musculus,RXRG,tf,3T3-L1,Preadipocyte,Adipose,1.0,RXRG
53644|STAT6,0.2574615515406947,Mus musculus,STAT6,tf,,T Lymphocyte,Spleen,0.0,STAT6
33038|SRSF1,0.25747119007693103,Mus musculus,SRSF1,other,,Embryonic Fibroblast,Embryo,0.0,SRSF1
33117|KDM5A,0.25747119007693103,Mus musculus,KDM5A,cr,,Embryonic Stem Cell,Embryo,0.0,KDM5A
50744|HAND1,0.25747119007693103,Mus musculus,HAND1,not sure,,Mesodermal Cell,,0.0,HAND1
9039|KDM6A,0.25753756437459185,Mus musculus,KDM6A,cr,,Fibroblast,Embryo,0.0,KDM6A
37913|EGR2,0.25753756437459185,Mus musculus,EGR2,tf,,Dendritic Cell,Bone Marrow,0.0,EGR2
54697|KDM1A,0.25753756437459185,Mus musculus,KDM1A,cr,,Cortical Neuron,Neuric,0.0,KDM1A
9166|KDM4A,0.25753756437459185,Mus musculus,KDM4A,cr,,Dendritic Cell,,0.0,KDM4A
33093|JUN,0.25753756437459185,Mus musculus,JUN,tf,C2C12,Myoblast,Muscle,0.0,JUN
33103|ZNF335,0.25753756437459185,Mus musculus,ZNF335,tf,,,Telencephalon,0.0,ZNF335
48962|H3Pan,0.25754649849815203,Mus musculus,H3Pan,other,,Spermatid,Testis,0.0,H3Pan
57968|HMGA2,0.25756207174533835,Mus musculus,HMGA2,tf,,Embryonic Fibroblast,,0.0,HMGA2
54559|TBX3,0.2576284566599032,Mus musculus,TBX3,tf,R1,Embryonic Stem Cell,Embryo,0.0,TBX3
44671|FOXP3,0.2582634490432489,Mus musculus,FOXP3,tf,,EL-4 cells,,1.0,FOXP3
38310|SIX2,0.2583223302056784,Mus musculus,SIX2,tf,,Neural Progenitor Cell,Kidney,0.0,SIX2
47783|GRHL3,0.2583467991843514,Mus musculus,GRHL3,predicted transcription factor,,Epidermal cell,,1.0,GRHL3
51958|NFATC2,0.2594094029790041,Mus musculus,NFATC2,tf,,T Lymphocyte,,0.0,NFATC2
44676|ESRRB,0.2596024596815855,Mus musculus,ESRRB,tf,ZhBTc4,Embryonic Stem Cell,Embryo,1.0,ESRRB
8976|ZFP42,0.2615582459033112,Mus musculus,ZFP42,tf,,Embryonic Stem Cell,Embryo,0.0,ZFP42
2763|STAT5B,0.2615582459033112,Mus musculus,STAT5B,tf,,T Lymphocyte,Lymph Node,0.0,STAT5B
37879|HIF1A,0.26298696083666273,Mus musculus,HIF1A,predicted chromatin regulator,,Dendritic Cell,Bone Marrow,1.0,HIF1A
44846|BCL11A,0.26428947633987604,Mus musculus,BCL11A,predicted transcription factor,MEL,Erythroid Progenitor Cell,Blood,1.0,BCL11A
41944|KDM6B,0.2645383964907164,Mus musculus,KDM6B,cr,,Embryonic Stem Cell,Embryo,1.0,KDM6B
47110|POLR3A,0.264734018477014,Mus musculus,POLR3A,tf,,,Skin,1.0,POLR3A
56133|RBFOX2,0.26667842964593735,Mus musculus,RBFOX2,other,,,Heart,1.0,RBFOX2
54238|BARX1,0.2676905659475832,Mus musculus,BARX1,tf,,Mesenchymal Cell,Stomach,1.0,BARX1
54461|MYOG,0.2679003032922147,Mus musculus,MYOG,tf,,Myotube cell,Muscle,1.0,MYOG
59039|DDX5,0.26869382897156424,Mus musculus,DDX5,predicted chromatin regulator,,Th17,,1.0,DDX5
52819|SIRT6,0.26920427116908224,Mus musculus,SIRT6,cr,,Embryonic Stem Cell,Embryo,1.0,SIRT6
37886|E2F1,0.2700795913731836,Mus musculus,E2F1,tf,,Dendritic Cell,Bone Marrow,1.0,E2F1
44168|ELK3,0.27015610101578735,Mus musculus,ELK3,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK3
5463|KDM5B,0.27022724633672646,Mus musculus,KDM5B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KDM5B
